行政区,楼名称及栋号,三级转移登记时间
宝安,深业*新岸线18栋,2016/2/1
宝安,世纪春城四期1#楼,2016/2/1
宝安,熙龙湾花园（N23区）4栋,2016/2/1
宝安,鸿荣源禧园1栋,2016/2/1
宝安,鸿荣源禧园2栋,2016/2/1
宝安,金港华庭1栋,2016/2/1
宝安,金港华庭1栋,2016/2/1
宝安,湾上六座花园6栋,2016/2/1
宝安,中海西岸华府（南区）4栋,2016/2/1
宝安,碧海富通城14栋,2016/2/1
龙岗,永乐楼,2016/2/1
龙岗,德福花园德盛苑,2016/2/1
龙岗,龙岭山庄4栋,2016/2/1
龙岗,南威中心1栋,2016/2/1
龙岗,国展苑四号楼（国盛台）,2016/2/1
龙岗,又一村花园C栋,2016/2/1
龙岗,丽湖花园L栋丽涛阁,2016/2/1
龙岗,德福花园德隆苑6栋,2016/2/1
龙岗,德福花园德隆苑6栋,2016/2/1
龙岗,国展苑3号楼(国兴台),2016/2/1
龙岗,国展苑八号楼（国荣台）,2016/2/1
龙岗,中海怡翠山庄3栋,2016/2/1
龙岗,百合山庄15栋(百馨苑),2016/2/1
龙岗,中海怡翠山庄25栋,2016/2/1
龙岗,中海怡翠山庄25栋,2016/2/1
龙岗,碧湖玫瑰园6栋,2016/2/1
龙岗,中兆花园4栋,2016/2/1
龙岗,怡乐花园4栋,2016/2/1
龙岗,南岭花园4栋(丽明阁),2016/2/1
龙岗,中加名园5号楼,2016/2/1
龙岗,茂业城帝景峰2栋,2016/2/1
龙岗,和兴花园4、5栋,2016/2/1
龙岗,中海怡翠山庄48栋,2016/2/1
龙岗,碧湖玫瑰园16栋,2016/2/1
龙岗,桂芳园五期18栋(峰顶居),2016/2/1
龙岗,中加名园7号楼,2016/2/1
龙岗,东都花园二区D栋,2016/2/1
龙岗,紫薇苑二期8#楼,2016/2/1
龙岗,丽廷豪苑,2016/2/1
龙岗,家和花园南区1栋,2016/2/1
龙岗,叠翠新峰花园5号楼,2016/2/1
龙岗,桂芳园六期24栋,2016/2/1
龙岗,理想家园2栋,2016/2/1
龙岗,理想家园4栋,2016/2/1
龙岗,水晶之城商业C段,2016/2/1
龙岗,茵悦之生花园二期7栋,2016/2/1
龙岗,创富时代名苑,2016/2/1
龙岗,花半里花园2栋,2016/2/1
龙岗,日辉台花园7栋,2016/2/1
龙岗,可园三期10号楼,2016/2/1
龙岗,倚山别苑1号楼,2016/2/1
龙岗,龙城国际花园3号楼,2016/2/1
龙岗,万科城（二区）19号楼,2016/2/1
龙岗,大世纪花园（三期）,2016/2/1
龙岗,万科城（二区）30号楼,2016/2/1
龙岗,翡翠星光园,2016/2/1
龙岗,怡瑞山居7号楼,2016/2/1
龙岗,溢芳园,2016/2/1
龙岗,阳光第五季花园2栋,2016/2/1
龙岗,龙城国际花园10号楼,2016/2/1
龙岗,龙园意境华府19号住宅,2016/2/1
龙岗,英郡年华花园二期8栋,2016/2/1
龙岗,景和园5号楼,2016/2/1
龙岗,旭景佳园（三期）9栋,2016/2/1
龙岗,茗萃园二期9号楼,2016/2/1
龙岗,茗萃园二期8号楼,2016/2/1
龙岗,第五园(五期)12号楼,2016/2/1
龙岗,君悦龙庭二期8栋,2016/2/1
龙岗,千林山居I区31号楼,2016/2/1
龙岗,公园大地花园六期18栋,2016/2/1
龙岗,振业峦山谷花园（一期）2、3栋,2016/2/1
盐田,海涛花园50栋,2016/2/1
盐田,海滨花园A座,2016/2/1
盐田,卫生系统职工住宅楼,2016/2/1
盐田,天利明园,2016/2/1
盐田,诗宁多层公寓,2016/2/1
盐田,旭飞华逸园4栋,2016/2/1
盐田,万科东海岸社区畔山居31号,2016/2/1
龙岗,盈富家园AB区,2016/2/1
罗湖,一品东门雅园北楼,2016/2/1
罗湖,新天地名居D栋,2016/2/1
罗湖,星湖花园8栋A座,2016/2/1
福田,花好园A-2座,2016/2/1
福田,花好园B-1座,2016/2/1
福田,韵动家园B座,2016/2/1
南山,天鹅堡（二期）R栋,2016/2/1
南山,天鹅堡（二期）S栋,2016/2/1
罗湖,东门天地大厦D座,2016/2/1
福田,缔梦园三期A座,2016/2/1
盐田,金海雅居,2016/2/1
福田,御景华城花园3栋,2016/2/1
福田,城市主场公寓B座,2016/2/1
福田,港中旅花园29栋,2016/2/1
南山,星海名城五期4单元,2016/2/1
南山,学子荔园A栋,2016/2/1
福田,景尚雅苑,2016/2/1
盐田,云顶天海花园3号楼,2016/2/1
南山,半岛城邦花园一期3栋,2016/2/1
南山,半岛城邦花园一期8栋,2016/2/1
南山,南油南海大厦,2016/2/1
罗湖,风格名苑A栋,2016/2/1
福田,祥云天都世纪大厦,2016/2/1
南山,御景东方花园7号楼,2016/2/1
罗湖,阳光绿地家园1-3号楼,2016/2/1
盐田,泊岸雅苑,2016/2/1
南山,深意综合楼,2016/2/1
罗湖,湖馨苑,2016/2/1
福田,骏皇名居,2016/2/1
南山,阳光华艺大厦2栋,2016/2/1
罗湖,红桂皇冠名庭,2016/2/1
福田,自由港湾公寓C栋,2016/2/1
福田,帝港海湾豪园CD栋,2016/2/1
南山,西湖林语名苑1栋,2016/2/1
南山,星海名城六期1栋,2016/2/1
南山,星海名城六期3栋,2016/2/1
福田,岭尚时代园A座,2016/2/1
福田,岭尚时代园A座,2016/2/1
南山,新德家园A栋,2016/2/1
南山,博海名苑3栋,2016/2/1
罗湖,钻石时代公寓,2016/2/1
罗湖,钻石时代公寓,2016/2/1
福田,皇御苑C区A地块19栋,2016/2/1
南山,香瑞园10号楼,2016/2/1
南山,诺德假日花园1号楼,2016/2/1
盐田,蓝郡广场,2016/2/1
南山,诺德假日花园2号楼,2016/2/1
盐田,海怡轩,2016/2/1
罗湖,曦龙山庄B栋（曦柳阁）,2016/2/1
南山,诺德假日花园6号楼,2016/2/1
南山,诺德假日花园7号楼,2016/2/1
南山,鼎太风华社区六期13座,2016/2/1
盐田,金水湾御园C座,2016/2/1
南山,雷圳碧榕湾海景花园4栋,2016/2/1
罗湖,东方颐园,2016/2/1
南山,桃源村三期1栋,2016/2/1
宝安,溪山美地园一期1栋,2016/2/1
宝安,溪山美地园一期1栋,2016/2/1
宝安,翠景居B栋,2016/2/1
宝安,中粮澜山花园33-35#楼,2016/2/1
龙岗,第五园八期1栋,2016/2/1
宝安,金地梅陇镇花园19栋,2016/2/1
宝安,书香门第上河坊广场1栋,2016/2/1
宝安,书香门第上河坊广场1栋,2016/2/1
宝安,金地上塘道花园2栋,2016/2/1
龙岗,盛龙花园二期5号楼,2016/2/1
龙岗,盛龙花园二期11号楼,2016/2/1
龙岗,盛龙花园二期11号楼,2016/2/1
龙岗,君悦龙庭三期7栋,2016/2/1
龙岗,君悦龙庭三期4栋,2016/2/1
龙岗,十二橡树庄园（二期）F组团F3号楼,2016/2/1
龙岗,大山地花园40栋,2016/2/1
宝安,观湖园B66栋,2016/2/1
南山,太古城花园（南区）,2016/2/1
宝安,天健时尚空间名苑,2016/2/1
龙岗,上品雅园2栋,2016/2/1
龙岗,第五园(四期)4号楼,2016/2/1
福田,御河堤花园,2016/2/1
龙岗,城南雅筑3栋,2016/2/1
龙岗,中海康城花园B区4-7栋,2016/2/1
南山,中海阳光玫瑰园3栋,2016/2/1
南山,中海阳光玫瑰园6栋,2016/2/1
龙岗,十二橡树庄园（二期）N2号楼,2016/2/1
宝安,水榭春天花园2栋,2016/2/1
宝安,花样年花郡家园,2016/2/1
宝安,花样年花郡家园,2016/2/1
福田,皇御苑C区B地块21栋,2016/2/1
南山,三湘海尚花园一期,2016/2/1
南山,三湘海尚花园一期,2016/2/1
南山,四季丽晶公寓,2016/2/1
龙岗,茗萃园三期11号楼,2016/2/1
龙岗,泽洋园,2016/2/1
宝安,万科金域华府（南地块）Ⅱ期3栋,2016/2/1
宝安,万科金域华府（南地块）Ⅱ期1栋,2016/2/1
宝安,高发西岸花园2栋,2016/2/1
龙岗,星河时代花园A1区A18栋,2016/2/1
宝安,花乡家园,2016/2/1
宝安,花乡家园,2016/2/1
宝安,金地上塘道花园10栋,2016/2/1
宝安,潜龙曼海宁花园（南区）5、6、7栋,2016/2/1
龙岗,东方沁园二期1栋,2016/2/1
南山,首地容御花园3栋,2016/2/1
龙岗,中海康城花园（二期）24栋,2016/2/1
宝安,中粮鸿云花园1栋,2016/2/1
宝安,招商观园11栋,2016/2/1
宝安,招商观园18栋,2016/2/1
宝安,招商观园18栋,2016/2/1
宝安,招商观园18栋,2016/2/1
宝安,招商观园28栋,2016/2/1
宝安,黄金大厦1栋,2016/2/1
宝安,水榭春天花园（三期）8-12#楼,2016/2/1
龙岗,大都汇大厦,2016/2/1
宝安,藏珑苑5栋,2016/2/1
宝安,魅力时代花园1栋,2016/2/1
盐田,上东湾雅居,2016/2/1
南山,泛海拉菲花园（二期）2栋,2016/2/1
福田,皇城广场皇舟苑,2016/2/1
福田,桐林公寓,2016/2/1
宝安,海雅广场1栋,2016/2/1
宝安,绿景香颂花园,2016/2/1
盐田,海川阁,2016/2/1
宝安,招商果岭花园5栋,2016/2/1
龙岗,熙和园2栋,2016/2/1
宝安,香格丽湾园1栋,2016/2/1
宝安,万科翡丽郡花园3栋,2016/2/1
宝安,西城雅筑花苑,2016/2/1
宝安,香格丽湾园4栋,2016/2/1
龙岗,金地名峰花园7栋,2016/2/1
福田,兰江山第花园一期2栋,2016/2/1
福田,兰江山第花园一期3栋,2016/2/1
南山,荔海春城花园2栋,2016/2/1
龙岗,海轩广场4-5座,2016/2/1
宝安,莱蒙春天花园(A818-0449宗地)1栋,2016/2/1
龙岗,东城中心花园,2016/2/1
龙岗,瑞泽佳园二期4栋,2016/2/1
龙岗,和成世纪名园,2016/2/1
宝安,金亨利首府1栋,2016/2/1
龙岗,远洋新干线荣域花园3栋,2016/2/1
南山,翡翠海岸花园,2016/2/1
宝安,金城大第花园1期2号楼,2016/2/1
南山,水木丹华园,2016/2/1
宝安,和平里花园I期,2016/2/1
宝安,和平里花园I期,2016/2/1
龙岗,振业峦山谷花园二期4栋,2016/2/1
宝安,龙泽榕园B栋,2016/2/1
罗湖,碧波花园6栋,2016/2/2
罗湖,桂花村桂荣楼,2016/2/2
罗湖,海丽大厦丽珠阁,2016/2/2
罗湖,文星楼5栋,2016/2/2
罗湖,海丽大厦丽都阁,2016/2/2
罗湖,海关住宅楼5栋,2016/2/2
罗湖,松泉公寓7栋,2016/2/2
罗湖,愉天小区1栋,2016/2/2
罗湖,5号大院11栋,2016/2/2
罗湖,翠竹苑翠菊楼,2016/2/2
罗湖,巨邦公司宿舍1栋,2016/2/2
罗湖,美思苑大厦B栋,2016/2/2
罗湖,国都花园国华苑,2016/2/2
罗湖,宝泉庄1栋,2016/2/2
罗湖,庐山大厦C座,2016/2/2
罗湖,中贸大厦,2016/2/2
罗湖,大澎花园景泰阁,2016/2/2
罗湖,卧龙阁,2016/2/2
罗湖,田心庆云花园庆宁阁2栋,2016/2/2
罗湖,田心庆云花园庆宁阁2栋,2016/2/2
罗湖,金园,2016/2/2
罗湖,文华花园文富楼,2016/2/2
罗湖,芳邻大厦,2016/2/2
罗湖,雍翠豪园B栋,2016/2/2
罗湖,莲塘134栋住宅楼,2016/2/2
罗湖,海珑华苑海天阁,2016/2/2
罗湖,海珑华苑海阔阁,2016/2/2
罗湖,环岛丽园丽运阁,2016/2/2
罗湖,嘉湖新都春天阁,2016/2/2
罗湖,彩世界家园4栋,2016/2/2
罗湖,嘉多利花园北区嘉丰阁,2016/2/2
罗湖,深城公寓,2016/2/2
罗湖,百仕达花园三期7栋,2016/2/2
罗湖,银座公寓,2016/2/2
罗湖,路桥大厦,2016/2/2
罗湖,锦上花家园B栋,2016/2/2
罗湖,田心庆云花园10号楼B座(湖景阁),2016/2/2
罗湖,景贝北A区3栋,2016/2/2
罗湖,清水河生活小区5栋,2016/2/2
罗湖,冠懋金色都汇金好阁,2016/2/2
罗湖,阳光天地家园B座明星阁,2016/2/2
罗湖,阳光天地家园B座明月阁,2016/2/2
罗湖,崇德雍翠华府御涛阁,2016/2/2
罗湖,崇德雍翠华府御雅阁,2016/2/2
罗湖,祥福雅居彩虹阁,2016/2/2
罗湖,城市天地广场B座,2016/2/2
罗湖,集建国际名园A座,2016/2/2
罗湖,集建国际名园B座,2016/2/2
罗湖,金色年华家园1座,2016/2/2
福田,南天大厦3栋,2016/2/2
福田,红荔村住宅区03栋,2016/2/2
福田,福华新村05栋,2016/2/2
福田,龙塘生活区5栋,2016/2/2
福田,鹏盛村8栋,2016/2/2
福田,梅兴苑12栋,2016/2/2
福田,香蜜三村1栋,2016/2/2
福田,鹏益花园3栋,2016/2/2
福田,裕亨花园4栋,2016/2/2
福田,紫玉花园,2016/2/2
福田,紫玉花园,2016/2/2
福田,凯伦花园4栋,2016/2/2
福田,嘉洲豪园B1栋,2016/2/2
福田,鹏益花园2栋,2016/2/2
福田,鹏益花园6栋,2016/2/2
福田,紫薇阁,2016/2/2
福田,华富村北区82栋,2016/2/2
福田,金地翠园1栋,2016/2/2
福田,缔梦园雅梦轩,2016/2/2
福田,东海花园福禄居12栋,2016/2/2
福田,东海花园福禄居15栋,2016/2/2
福田,泰安轩A，B座,2016/2/2
福田,祥韵苑,2016/2/2
福田,华安园,2016/2/2
福田,华安园,2016/2/2
福田,黄埔雅苑翠悠园3A-6栋,2016/2/2
福田,共和世家瑞云轩,2016/2/2
福田,赛格绿茵阁2栋,2016/2/2
福田,景龙大厦,2016/2/2
福田,景龙大厦,2016/2/2
福田,华富大厦,2016/2/2
福田,福田外贸大厦,2016/2/2
福田,金色家园二期9号楼,2016/2/2
福田,梅林一村96栋,2016/2/2
福田,三建宿舍28栋（原1#单身楼B1栋),2016/2/2
福田,金海丽名居A座,2016/2/2
福田,金地海景花园D区26栋,2016/2/2
福田,香蜜湖豪庭,2016/2/2
福田,翠馨居2栋,2016/2/2
福田,蓝宝石家园2栋,2016/2/2
福田,皇岗星河华居,2016/2/2
福田,皇岗星河华居,2016/2/2
福田,香榭里花园8号楼,2016/2/2
福田,俊景豪园3栋,2016/2/2
福田,南光捷佳大厦,2016/2/2
福田,丽阳天下名苑A栋,2016/2/2
福田,丽阳天下名苑B栋,2016/2/2
福田,益田村109栋,2016/2/2
福田,香蜜湖水榭花都14#楼,2016/2/2
福田,香蜜湖水榭花都14#楼,2016/2/2
福田,裕康时尚名居B栋,2016/2/2
福田,天健世纪花园1栋,2016/2/2
福田,天健世纪花园5栋,2016/2/2
福田,擎天华庭擎天阁,2016/2/2
福田,皇御苑B区8栋,2016/2/2
福田,玮鹏花园1号楼,2016/2/2
福田,皇御苑B区10栋,2016/2/2
福田,金域蓝湾9号楼,2016/2/2
福田,东方时代广场,2016/2/2
福田,皇庭世纪花园4号楼,2016/2/2
福田,熙园2栋B座,2016/2/2
福田,润恒大厦,2016/2/2
福田,园岭新村红岭中学2栋,2016/2/2
福田,星座大厦,2016/2/2
福田,星座大厦,2016/2/2
福田,翰岭花园8栋,2016/2/2
南山,南油B区32栋,2016/2/2
南山,南油B区32栋,2016/2/2
南山,紫竹园住宅楼20栋,2016/2/2
南山,紫竹园住宅楼17栋,2016/2/2
南山,芳华苑芙蓉阁(原A3),2016/2/2
南山,龙城花园大厦龙华阁,2016/2/2
南山,龙城花园大厦龙华阁,2016/2/2
南山,华联花园2栋,2016/2/2
南山,科技园西区33栋,2016/2/2
南山,月亮湾花园6栋,2016/2/2
南山,月亮湾花园12栋,2016/2/2
南山,月亮湾花园19栋,2016/2/2
南山,桃苑单身宿舍F栋,2016/2/2
南山,科技园36区住宅5栋,2016/2/2
南山,深华园C栋,2016/2/2
南山,F2栋,2016/2/2
南山,迎晖大厦3栋,2016/2/2
南山,福园单身公寓,2016/2/2
南山,海湾花园海徽阁,2016/2/2
南山,西丽湖工贸公司住宅甲栋,2016/2/2
南山,南油生活B区21栋,2016/2/2
南山,松坪山住宅楼62栋,2016/2/2
南山,桃源村33栋,2016/2/2
南山,桃源村69栋,2016/2/2
南山,世纪广场,2016/2/2
南山,荔园新村东三栋,2016/2/2
南山,爱榕园住宅楼25栋,2016/2/2
南山,千叶苑商住小区第3栋,2016/2/2
南山,新浩城花园新明阁,2016/2/2
南山,跃华园,2016/2/2
南山,月亮湾山庄C区低层住宅,2016/2/2
南山,月亮湾花园40栋,2016/2/2
南山,高发公寓3栋,2016/2/2
南山,汇宾广场汇嘉阁,2016/2/2
南山,蛇口花园城叠翠轩3栋,2016/2/2
南山,世界花园海华居第3栋,2016/2/2
南山,海月花园二期28栋,2016/2/2
南山,海岸明珠园,2016/2/2
南山,阳光棕榈园18栋,2016/2/2
南山,前海花园16栋,2016/2/2
南山,如意家园1-2栋,2016/2/2
南山,云海天城世家,2016/2/2
南山,假日湾华庭,2016/2/2
南山,佳嘉豪苑,2016/2/2
南山,嘉庭苑1栋,2016/2/2
南山,东方新地苑C栋,2016/2/2
南山,西海明珠花园A座,2016/2/2
南山,俊峰丽舍花园1栋,2016/2/2
南山,南国丽城花园3栋,2016/2/2
宝安,华安苑十五栋,2016/2/2
宝安,丰润花园D7栋,2016/2/2
宝安,龙腾花园龙华楼,2016/2/2
宝安,金泰花园一栋,2016/2/2
宝安,弘雅花园二期十三栋,2016/2/2
宝安,嘉华花园一栋,2016/2/2
宝安,中商花园D栋,2016/2/2
宝安,桃源居1#住宅楼,2016/2/2
宝安,弘雅花园三期雅豪轩北区1栋,2016/2/2
宝安,雅景居二栋,2016/2/2
宝安,风采轩倚风阁,2016/2/2
宝安,潜龙花园二栋,2016/2/2
宝安,潜龙花园四栋,2016/2/2
宝安,百佳华大厦1栋,2016/2/2
宝安,嘉华花园东区(3)B栋,2016/2/2
宝安,73区5号楼,2016/2/2
宝安,中怡名苑A栋,2016/2/2
宝安,富通蟠龙居D栋,2016/2/2
宝安,美丽365第J2栋,2016/2/2
宝安,桃源居三区Ⅲ栋,2016/2/2
宝安,银泉花园7栋,2016/2/2
宝安,富通天骏花园A栋,2016/2/2
宝安,金汇名园1栋,2016/2/2
宝安,时代景苑二期2栋,2016/2/2
宝安,白金时代公寓1栋,2016/2/2
宝安,苹果园1栋,2016/2/2
宝安,苹果园1栋,2016/2/2
宝安,苹果园2栋,2016/2/2
宝安,金达花园7栋,2016/2/2
宝安,御龙居1-2-3栋,2016/2/2
宝安,桦润馨居C区C1栋,2016/2/2
宝安,白金酒店公寓1栋,2016/2/2
宝安,城市明珠花园1栋,2016/2/2
宝安,书香门第名苑15栋,2016/2/2
宝安,缤纷世界花园D栋,2016/2/2
宝安,锦绣江南Ⅳ栋,2016/2/2
