行政区,楼名称及栋号,三级转移登记时间
福田,皇庭世纪花园9号楼,2016/1/4
福田,阁林网苑,2016/1/4
福田,金茂礼都B栋,2016/1/4
福田,桑达雅苑,2016/1/4
福田,盛世家园（二期）甲栋1号楼,2016/1/4
福田,缇香名苑6栋,2016/1/4
福田,趣园,2016/1/4
福田,万德居,2016/1/4
福田,景田合正名园（二期）3栋,2016/1/4
南山,中新街12栋,2016/1/4
南山,半岛花园A区5栋,2016/1/4
南山,华采花园南山阁,2016/1/4
南山,振兴6栋,2016/1/4
南山,南海城中心3栋,2016/1/4
南山,锦绣花园倚海阁,2016/1/4
南山,荔馨村A1栋,2016/1/4
南山,荔园新村东八栋,2016/1/4
南山,荔馨村D栋,2016/1/4
南山,金麒麟花园B栋,2016/1/4
南山,太子山庄2栋,2016/1/4
南山,万象新园凭海阁（C栋）,2016/1/4
南山,心语家园,2016/1/4
南山,一辉花园一期1栋,2016/1/4
南山,海印长城小区一期,2016/1/4
南山,后海花园七号楼,2016/1/4
南山,龙都名园二栋,2016/1/4
南山,南山豪庭,2016/1/4
南山,新一代大厦,2016/1/4
南山,海湾广场丰盛阁,2016/1/4
宝安,新安湖花园新星村,2016/1/4
宝安,十八区锦竹苑五栋,2016/1/4
宝安,农贸市场一栋,2016/1/4
宝安,泰华花园一栋,2016/1/4
宝安,丰润花园D18栋,2016/1/4
宝安,双龙花园龙门楼,2016/1/4
宝安,福中福商业城（二期）D5栋,2016/1/4
宝安,福安楼一栋B座,2016/1/4
宝安,居乐苑A栋,2016/1/4
宝安,桃源居3#住宅楼,2016/1/4
宝安,榕苑第一栋,2016/1/4
宝安,宝华花园A栋,2016/1/4
宝安,雅涛花园A2栋,2016/1/4
宝安,金叶茗苑1栋,2016/1/4
宝安,兴华花园2栋,2016/1/4
宝安,理想居1栋,2016/1/4
宝安,丽景城5栋,2016/1/4
宝安,富通天骏花园A栋,2016/1/4
宝安,苹果园2栋,2016/1/4
宝安,里仁府1栋,2016/1/4
宝安,鸿景园1栋,2016/1/4
宝安,白金酒店公寓1栋,2016/1/4
宝安,深业*新岸线24栋,2016/1/4
宝安,城市明珠花园11栋,2016/1/4
宝安,皓月花园10栋,2016/1/4
宝安,御景湾花园3栋,2016/1/4
宝安,青年城邦园4栋,2016/1/4
宝安,锦绣江南Ⅱ栋,2016/1/4
宝安,桃源盛景园5栋,2016/1/4
宝安,桃源盛景园18栋,2016/1/4
宝安,山语华庭1栋,2016/1/4
宝安,骏景华庭B、C栋,2016/1/4
宝安,集信名城1栋,2016/1/4
宝安,春华四季园41栋,2016/1/4
宝安,宏发领域花园7栋,2016/1/4
宝安,金地梅陇镇花园11栋,2016/1/4
宝安,星河丹堤花园F区3栋,2016/1/4
宝安,丹枫雅苑1栋,2016/1/4
宝安,深业*新岸线15栋,2016/1/4
宝安,西城品阁商住楼,2016/1/4
宝安,世纪春城四期5#楼,2016/1/4
宝安,幸福枫景花园第2栋,2016/1/4
宝安,海语西湾花园1栋,2016/1/4
龙岗,茂业城怡德楼,2016/1/4
龙岗,国展苑3号楼(国兴台),2016/1/4
龙岗,吉信大厦,2016/1/4
龙岗,德福花园德隆苑1栋,2016/1/4
龙岗,国展苑3号楼(国兴台),2016/1/4
龙岗,茂业城怡贵楼,2016/1/4
龙岗,四季花城牡丹苑6栋,2016/1/4
龙岗,国展苑八号楼（国荣台）,2016/1/4
龙岗,碧湖花园A栋,2016/1/4
龙岗,富豪花园B9栋,2016/1/4
龙岗,中兆花园1栋,2016/1/4
罗湖,龙园山庄高层住宅,2016/1/4
龙岗,百合山庄12栋,2016/1/4
龙岗,超群大厦,2016/1/4
龙岗,台湾花园和平楼,2016/1/4
龙岗,中兆花园7栋(景庭轩),2016/1/4
龙岗,桂芳园五期18栋(峰顶居),2016/1/4
龙岗,百合星城A-C栋,2016/1/4
龙岗,吉祥来花园1栋,2016/1/4
龙岗,桂芳园六期24栋,2016/1/4
龙岗,阳光花园15栋,2016/1/4
龙岗,茵悦之生花园二期8栋,2016/1/4
龙岗,怡美山庄2栋,2016/1/4
龙岗,欧意轩花园C栋,2016/1/4
龙岗,可园三期9号楼,2016/1/4
龙岗,英郡年华花园3栋,2016/1/4
龙岗,腾昌花园2栋,2016/1/4
龙岗,文雅豪庭A栋,2016/1/4
龙岗,左庭右院（北区）1号楼,2016/1/4
龙岗,倚山别苑1号楼,2016/1/4
龙岗,倚山别苑2号楼,2016/1/4
龙岗,紫郡30号楼,2016/1/4
龙岗,绿色满庭芳,2016/1/4
龙岗,志健时代广场,2016/1/4
龙岗,茵悦之生花园三期13号楼,2016/1/4
龙岗,榭丽花园三期,2016/1/4
龙岗,紫郡32号楼,2016/1/4
龙岗,旭景佳园（一期）1栋,2016/1/4
龙岗,依山郡花园二期14栋,2016/1/4
龙岗,大山地花园15栋,2016/1/4
龙岗,阳光第五季花园1栋,2016/1/4
龙岗,阳光第五季花园1栋,2016/1/4
龙岗,鸿基花园三期2栋,2016/1/4
龙岗,水岸新都四、五期42号楼,2016/1/4
龙岗,水岸新都四、五期42号楼,2016/1/4
龙岗,景和园7号楼,2016/1/4
龙岗,旭景佳园（二期）8栋,2016/1/4
龙岗,万科金域东郡1栋,2016/1/4
龙岗,茗萃园二期8号楼,2016/1/4
龙岗,中海康城花园A区1-3栋,2016/1/4
盐田,三家店住宅楼,2016/1/4
盐田,东埔海景花园3栋,2016/1/4
盐田,东埔海景花园10栋,2016/1/4
盐田,万科东海岸社区赏湖居106号楼,2016/1/4
罗湖,新天地名居A栋,2016/1/4
罗湖,星湖花园8栋A座,2016/1/4
福田,绿洲丰和家园绿景阁,2016/1/4
罗湖,东方华都大厦A栋,2016/1/4
罗湖,置地逸轩A塔楼,2016/1/4
福田,缔梦园三期A座,2016/1/4
福田,尚书苑尚德府,2016/1/4
福田,尚书苑尚文府,2016/1/4
福田,御景华城花园5栋,2016/1/4
福田,御景华城花园6栋,2016/1/4
福田,城市主场公寓B座,2016/1/4
福田,城市主场公寓B座,2016/1/4
福田,盛世鹏程花园6号楼,2016/1/4
南山,星海名城五期3单元,2016/1/4
罗湖,置富公寓1栋,2016/1/4
福田,江南名苑,2016/1/4
福田,加福广场B座,2016/1/4
罗湖,南塘商业广场C区,2016/1/4
罗湖,东方.尊峪花园逸澜阁,2016/1/4
福田,名津广场1栋,2016/1/4
盐田,蓝郡广场,2016/1/4
南山,诺德假日花园1号楼,2016/1/4
南山,诺德假日花园7号楼,2016/1/4
南山,鼎太风华社区七期16-18、20座,2016/1/4
南山,鼎太风华社区七期16-18、20座,2016/1/4
龙岗,盛龙花园二期10号楼,2016/1/4
龙岗,森雅谷,2016/1/4
南山,恒立心海湾花园4栋,2016/1/4
宝安,招商澜园11#,2016/1/4
龙岗,上品雅园3栋,2016/1/4
龙岗,上品雅园5栋,2016/1/4
龙岗,摩尔城1-3栋住宅、商业、配套及商业性办公,2016/1/4
龙岗,摩尔城1-3栋住宅、商业、配套及商业性办公,2016/1/4
龙岗,润筑园,2016/1/4
龙岗,公园大地花园27栋,2016/1/4
南山,君汇新天花园1栋,2016/1/4
南山,前海豪苑,2016/1/4
宝安,金域豪庭7栋,2016/1/4
龙岗,泽洋园,2016/1/4
龙岗,景和园4号楼,2016/1/4
龙岗,星河时代花园A1区A18栋,2016/1/4
龙岗,东方瑞景苑小户型住宅,2016/1/4
龙岗,东方瑞景苑小户型住宅,2016/1/4
龙岗,东方瑞景苑小户型住宅,2016/1/4
龙岗,东方瑞景苑小户型住宅,2016/1/4
龙岗,东方瑞景苑小户型住宅,2016/1/4
龙岗,东方瑞景苑小户型住宅,2016/1/4
龙岗,东方瑞景苑小户型住宅,2016/1/4
龙岗,东方瑞景苑小户型住宅,2016/1/4
龙岗,东方瑞景苑小户型住宅,2016/1/4
龙岗,东方瑞景苑小户型住宅,2016/1/4
龙岗,海轩广场1-3座,2016/1/4
龙岗,海轩广场1-3座,2016/1/4
宝安,水榭春天花园（三期）8-12#楼,2016/1/4
宝安,水榭春天花园（三期）8-12#楼,2016/1/4
龙岗,大都汇大厦,2016/1/4
龙岗,大都汇大厦,2016/1/4
宝安,万科金色领域花园（一期）3栋,2016/1/4
宝安,万科金色领域花园（一期）3栋,2016/1/4
龙岗,阅山华府三期3号楼,2016/1/4
龙岗,豪方菁园,2016/1/4
福田,桐林公寓,2016/1/4
宝安,花半里清湖花园1栋,2016/1/4
宝安,招商果岭花园6栋,2016/1/4
龙岗,首创八意府7栋,2016/1/4
龙岗,广业成学府道花园1栋,2016/1/4
龙岗,深业御园6号楼,2016/1/4
福田,廊桥花园,2016/1/4
宝安,西城雅筑花苑,2016/1/4
龙岗,东城中心花园,2016/1/4
龙岗,嘉御豪园1栋,2016/1/4
龙岗,和成世纪名园,2016/1/4
宝安,中熙香缤山花园5栋,2016/1/4
宝安,汇龙湾花园3栋,2016/1/4
龙岗,御峰园C10栋,2016/1/4
罗湖,东湖丽苑12栋,2016/1/4
龙岗,万科金域缇香花园二期3栋,2016/1/4
罗湖,红岗花园1栋,2016/1/5
罗湖,文锦大厦,2016/1/5
罗湖,东乐花园24B栋,2016/1/5
罗湖,荷花村荷翠阁,2016/1/5
罗湖,松泉公寓17栋,2016/1/5
罗湖,东湖丽苑14栋,2016/1/5
罗湖,田贝东10号大院住宅楼2栋,2016/1/5
罗湖,东乐花园乐丰楼,2016/1/5
罗湖,粤鹏大厦,2016/1/5
罗湖,布心花园22B栋,2016/1/5
罗湖,泰宁花园E栋,2016/1/5
罗湖,马古岭住宅区10栋,2016/1/5
罗湖,新港鸿花园10栋,2016/1/5
罗湖,翠珠商住楼D栋,2016/1/5
罗湖,福德花园大厦,2016/1/5
罗湖,惠名花园2栋,2016/1/5
罗湖,绿景山庄1栋,2016/1/5
罗湖,长丰苑曼域轩(主楼),2016/1/5
罗湖,都市名园名汇阁D栋,2016/1/5
罗湖,百仕达花园二期23栋,2016/1/5
罗湖,旭飞华天苑B栋,2016/1/5
罗湖,旭飞华天苑A栋,2016/1/5
罗湖,旭飞华天苑A栋,2016/1/5
罗湖,旭飞华天苑A栋,2016/1/5
罗湖,新港鸿花园洪湖阁,2016/1/5
罗湖,芳邻大厦,2016/1/5
罗湖,翠盈嘉园,2016/1/5
罗湖,海珑华苑海阔阁,2016/1/5
罗湖,紫荆花园紫馨阁,2016/1/5
罗湖,紫荆花园紫悦阁,2016/1/5
罗湖,百仕达花园三期2栋,2016/1/5
罗湖,芳春花园5栋,2016/1/5
罗湖,雅馨居,2016/1/5
罗湖,景贝南26栋,2016/1/5
罗湖,旺业豪苑旺业阁,2016/1/5
罗湖,松源大厦,2016/1/5
罗湖,阳光天地家园B座明星阁,2016/1/5
罗湖,东方都会大厦B座,2016/1/5
罗湖,鹏城合正星园A栋,2016/1/5
罗湖,祥福雅居彩云阁,2016/1/5
罗湖,好年华大厦,2016/1/5
罗湖,乐扬枫景阁,2016/1/5
罗湖,集建国际名园A座,2016/1/5
罗湖,集建国际名园A座,2016/1/5
福田,"荔香坊1栋(4#,5#)",2016/1/5
福田,高科利花园大厦高雅阁,2016/1/5
福田,益田村24栋,2016/1/5
福田,益田村14栋,2016/1/5
福田,益田村29栋,2016/1/5
福田,益田村54栋,2016/1/5
福田,东海花园3栋,2016/1/5
福田,108栋宿舍,2016/1/5
福田,艺丰花园B区C栋,2016/1/5
福田,鹏盛村5栋,2016/1/5
福田,鹏盛村高层公寓4栋,2016/1/5
福田,红梅苑1栋,2016/1/5
福田,福民新村11栋,2016/1/5
福田,鹏益花园2栋,2016/1/5
福田,馨庭苑B栋,2016/1/5
福田,汇龙花园14栋,2016/1/5
福田,意馨居D#-G#栋,2016/1/5
福田,天泽花园天逸苑,2016/1/5
福田,东海花园福禄居16栋,2016/1/5
福田,东海花园福禄居6栋,2016/1/5
福田,益荣居3栋,2016/1/5
福田,嘉园2栋,2016/1/5
福田,共和世家碧云轩,2016/1/5
福田,鹏丽大厦,2016/1/5
福田,华富大厦,2016/1/5
福田,景秀年华家园C栋,2016/1/5
福田,汇港名苑,2016/1/5
福田,皇岗星河华居,2016/1/5
福田,南光捷佳大厦,2016/1/5
福田,丽阳天下名苑A栋,2016/1/5
福田,中央花园安定阁,2016/1/5
福田,裕康时尚名居A栋,2016/1/5
福田,香荔绿洲7栋,2016/1/5
福田,港中旅花园13栋,2016/1/5
福田,玮鹏花园6号楼,2016/1/5
福田,水围新家园C栋东座,2016/1/5
福田,侨福大厦,2016/1/5
福田,皇庭世纪花园1号楼,2016/1/5
福田,皇庭世纪花园9号楼,2016/1/5
福田,金怡华庭1栋,2016/1/5
福田,金怡华庭2栋,2016/1/5
福田,盛世家园（二期）丙栋6号楼,2016/1/5
福田,星座大厦,2016/1/5
福田,鹏基单身公寓第43栋,2016/1/5
福田,鹏基单身公寓第42栋,2016/1/5
南山,海滨花园海阳阁2栋,2016/1/5
南山,佛山街第四栋,2016/1/5
南山,荟芳园金枫阁A栋,2016/1/5
南山,松坪山住宅楼59栋,2016/1/5
南山,振兴6栋,2016/1/5
南山,南光花园7栋,2016/1/5
南山,金竹园住宅楼5栋,2016/1/5
南山,学府花园清华园(1栋),2016/1/5
南山,阳光荔景E5-E6,2016/1/5
南山,蓝月湾畔2栋,2016/1/5
南山,蛇口花园城锦绣轩10栋,2016/1/5
南山,南粤明珠,2016/1/5
南山,瑞景华庭,2016/1/5
南山,南海玫瑰花园7栋,2016/1/5
南山,时代骄子大厦,2016/1/5
南山,侨苑（二期）,2016/1/5
南山,东帝海景家园1栋,2016/1/5
南山,天骄华庭2、3、4号楼,2016/1/5
南山,丽岛茗园C栋,2016/1/5
南山,半山海景.兰溪谷10栋,2016/1/5
南山,海怡东方花园6栋,2016/1/5
南山,天鹅堡（二期）G栋,2016/1/5
宝安,裕安楼三栋,2016/1/5
宝安,天源大厦,2016/1/5
宝安,风采轩倚风阁,2016/1/5
宝安,滢水山庄二区第九栋,2016/1/5
宝安,嘉华花园东区(2)A栋,2016/1/5
宝安,富盈门花园A栋,2016/1/5
宝安,群贤花园B栋,2016/1/5
宝安,观澜豪园*假日*赛维纳E栋,2016/1/5
宝安,富通蟠龙居B栋,2016/1/5
宝安,大益广场2栋,2016/1/5
宝安,美丽365第D2栋,2016/1/5
宝安,丰泽湖山庄10栋,2016/1/5
宝安,深信泰丰大厦1栋,2016/1/5
宝安,世外桃源1栋,2016/1/5
宝安,苹果园2栋,2016/1/5
宝安,翠景居A1栋,2016/1/5
宝安,永安商业城1栋,2016/1/5
宝安,书香门第名苑3-7栋,2016/1/5
宝安,锦绣江南4栋,2016/1/5
宝安,宝利豪庭1栋,2016/1/5
宝安,都市翠海华苑1栋,2016/1/5
宝安,宏发*雍景城B栋,2016/1/5
宝安,缤纷世界花园C1栋,2016/1/5
宝安,书香门第名苑15栋,2016/1/5
宝安,天悦龙庭B栋,2016/1/5
宝安,潜龙*鑫茂花园C区1栋,2016/1/5
宝安,金达花园2栋,2016/1/5
宝安,春华四季园14栋,2016/1/5
宝安,时代景苑5-8栋,2016/1/5
宝安,中航格澜阳光花园18栋,2016/1/5
宝安,绿海名居1号楼,2016/1/5
宝安,山语华庭1栋,2016/1/5
宝安,菁英趣庭1栋,2016/1/5
宝安,星河丹堤花园C区27栋,2016/1/5
宝安,碧海富通城3栋,2016/1/5
宝安,金地梅陇镇花园15栋,2016/1/5
宝安,金地梅陇镇花园15栋,2016/1/5
宝安,棕榈堡花园3栋,2016/1/5
宝安,宝安海滨广场(三期)1栋,2016/1/5
宝安,中海西岸华府12栋,2016/1/5
宝安,星河丹堤花园E区1栋,2016/1/5
宝安,碧海富通城6栋,2016/1/5
宝安,金海华府1栋,2016/1/5
宝安,金港华庭1栋,2016/1/5
宝安,凤凰雅居1栋,2016/1/5
龙岗,茂业城怡丰楼,2016/1/5
龙岗,丽湖花园丽满阁D栋,2016/1/5
龙岗,龙泉别墅,2016/1/5
龙岗,吉信大厦,2016/1/5
龙岗,祥云苑C栋,2016/1/5
龙岗,德兴城12栋、13栋、14栋、15栋,2016/1/5
龙岗,百合山庄3栋(百怡居),2016/1/5
龙岗,南岭花园4栋(丽明阁),2016/1/5
龙岗,大世纪花园2栋,2016/1/5
龙岗,龙岭山庄1、2栋,2016/1/5
龙岗,百合山庄12栋,2016/1/5
龙岗,富豪花园C3栋,2016/1/5
龙岗,景华苑C栋,2016/1/5
龙岗,万隆苑B栋,2016/1/5
龙岗,榭丽花园9栋,2016/1/5
龙岗,德福花园德福广场(情侣阁),2016/1/5
龙岗,九州家园2栋,2016/1/5
龙岗,龙威花园3栋,2016/1/5
龙岗,水晶之城5栋,2016/1/5
龙岗,丽廷豪苑,2016/1/5
龙岗,中翠花园第一座A区,2016/1/5
龙岗,阳光广场A、C栋,2016/1/5
龙岗,怡美山庄2栋,2016/1/5
龙岗,华浩源(B区)C栋,2016/1/5
龙岗,华兴苑,2016/1/5
龙岗,布吉中心花园,2016/1/5
龙岗,振业城3号楼,2016/1/5
龙岗,可园三期10号楼,2016/1/5
龙岗,英郡年华花园1栋,2016/1/5
龙岗,百合星城(二期)8-9号楼,2016/1/5
龙岗,金桔苑1栋,2016/1/5
龙岗,月朗苑3栋,2016/1/5
龙岗,劲嘉.龙园印象名苑商住楼,2016/1/5
龙岗,怡瑞山居6号楼,2016/1/5
龙岗,茵悦之生花园三期14号楼,2016/1/5
龙岗,万科城（二区）30号楼,2016/1/5
龙岗,可园(六期)17号楼,2016/1/5
龙岗,左庭右院（南区）2号楼,2016/1/5
龙岗,榭丽花园三期,2016/1/5
龙岗,龙城华府4号楼,2016/1/5
龙岗,水岸新都四、五期42号楼,2016/1/5
龙岗,茗萃园二期8号楼,2016/1/5
龙岗,茗萃园二期8号楼,2016/1/5
龙岗,依山郡花园（三期）24栋,2016/1/5
龙岗,千林山居I区31号楼,2016/1/5
盐田,海港花园别墅群,2016/1/5
盐田,园林综合楼,2016/1/5
盐田,园林综合楼,2016/1/5
盐田,碧桐湾（塔楼B）,2016/1/5
盐田,鹏湾花园第10栋,2016/1/5
罗湖,新天地名居D栋,2016/1/5
罗湖,新天地名居E栋,2016/1/5
福田,花好园C座,2016/1/5
福田,绿洲丰和家园绿景阁,2016/1/5
福田,绿洲丰和家园绿景阁,2016/1/5
福田,韵动家园C座,2016/1/5
南山,嘉南美地,2016/1/5
福田,馨庭苑二期Ⅱ栋,2016/1/5
福田,时尚新天地名苑主楼,2016/1/5
盐田,万科东海岸社区云山居202栋,2016/1/5
福田,御景华城花园2栋,2016/1/5
福田,御景华城花园1栋A座,2016/1/5
福田,盛世鹏程花园5号楼,2016/1/5
福田,港中旅花园24栋,2016/1/5
南山,红树西岸花园2栋,2016/1/5
福田,五洲星苑A栋,2016/1/5
南山,常兴苑C2栋,2016/1/5
盐田,金港盛世华庭3栋,2016/1/5
福田,星河世纪大厦B栋,2016/1/5
罗湖,翠竹苑翠兰楼,2016/1/5
南山,御景东方花园3号楼,2016/1/5
南山,珠光花半里欣苑2号楼,2016/1/5
罗湖,双城世纪大厦,2016/1/5
南山,众冠西郡园1栋,2016/1/5
盐田,泊岸雅苑,2016/1/5
福田,帝港海湾豪园AB栋,2016/1/5
福田,帝港海湾豪园-城市3米6公寓,2016/1/5
福田,帝港海湾豪园-城市3米6公寓,2016/1/5
福田,南方国际广场A栋,2016/1/5
罗湖,东方.尊峪花园雍泰阁,2016/1/5
福田,名津广场1栋,2016/1/5
福田,名津广场1栋,2016/1/5
福田,中城天邑花园3座,2016/1/5
南山,香瑞园10号楼,2016/1/5
南山,卓越维港名苑（南区）5栋,2016/1/5
盐田,花样年花港家园,2016/1/5
盐田,倚山时代雅居,2016/1/5
南山,卓越维港名苑（北区）7栋,2016/1/5
南山,诺德假日花园8号楼,2016/1/5
南山,中信红树湾花城15栋,2016/1/5
盐田,金水湾御园B座,2016/1/5
南山,桃源村三期3栋,2016/1/5
南山,四海公寓,2016/1/5
宝安,书香门第上河坊广场1栋,2016/1/5
宝安,圣莫丽斯花园C07栋,2016/1/5
龙岗,盛龙花园二期11号楼,2016/1/5
宝安,深物业新华城美花园1栋,2016/1/5
龙岗,城市立方花园B区1栋,2016/1/5
龙岗,御峰园一期A区A5栋,2016/1/5
南山,中海阳光玫瑰园3栋,2016/1/5
南山,中海阳光玫瑰园4栋,2016/1/5
南山,鸿威海怡湾畔花园,2016/1/5
龙岗,阳光天健城5栋,2016/1/5
宝安,花样年花郡家园,2016/1/5
宝安,高发西岸花园3栋,2016/1/5
龙岗,星河时代花园A1区A10栋,2016/1/5
南山,鼎太风华社区G栋,2016/1/5
宝安,玉湖湾花园1栋,2016/1/5
盐田,和亨城市广场,2016/1/5
福田,鸣泉居A栋,2016/1/5
龙岗,深业紫麟山花园H4-H6栋,2016/1/5
宝安,城市阳光花园,2016/1/5
宝安,桃源峰景园18栋,2016/1/5
宝安,福怡商住中心,2016/1/5
龙岗,朝阳里雅苑2栋,2016/1/5
龙岗,星河时代花园B区B1栋,2016/1/5
龙岗,家和盛世花园二期1栋,2016/1/5
南山,阳光海滨花园,2016/1/5
南山,阳光海滨花园,2016/1/5
宝安,花半里清湖花园6栋,2016/1/5
宝安,花半里清湖花园3栋,2016/1/5
宝安,桃源峰景园1栋,2016/1/5
龙岗,阳基新天地家园1栋,2016/1/5
宝安,碧海富通城17栋,2016/1/5
龙岗,满京华喜悦里华庭一期,2016/1/5
龙岗,嘉宏湾花园二期1号楼,2016/1/5
南山,后海理想雅园,2016/1/5
龙岗,远洋新干线荣域花园3栋,2016/1/5
南山,鲸山花园九期16号楼,2016/1/5
龙岗,佳兆业新都汇家园1栋,2016/1/5
宝安,润恒尚园1栋,2016/1/5
宝安,润恒尚园3栋,2016/1/5
龙岗,振业峦山谷花园二期3栋,2016/1/5
宝安,龙泽榕园B栋,2016/1/5
龙岗,保利上城花园4栋,2016/1/5
龙岗,万科金域缇香花园二期1栋,2016/1/5
罗湖,湖滨新村9座,2016/1/6
罗湖,友谊大厦7栋,2016/1/6
罗湖,新秀村42栋,2016/1/6
罗湖,田贝东10号大院住宅楼9栋,2016/1/6
罗湖,金福大厦,2016/1/6
罗湖,特力大厦,2016/1/6
罗湖,畔山花园11栋,2016/1/6
罗湖,金源大厦,2016/1/6
罗湖,福德花园大厦,2016/1/6
罗湖,金丽豪苑鹏云阁,2016/1/6
罗湖,万事达名苑二期明星阁,2016/1/6
罗湖,长丰苑曼域轩(主楼),2016/1/6
罗湖,祥和花园祥家阁,2016/1/6
罗湖,莲通楼B栋,2016/1/6
罗湖,旭飞华天苑B栋,2016/1/6
罗湖,旭飞华天苑B栋,2016/1/6
罗湖,龙园苑,2016/1/6
罗湖,华景园别墅,2016/1/6
罗湖,骏庭名园,2016/1/6
罗湖,骏庭名园,2016/1/6
罗湖,洪湖邮电住宅2栋,2016/1/6
罗湖,海珑华苑海天阁,2016/1/6
罗湖,旭飞华达园富士阁,2016/1/6
罗湖,银湖国际会议中心A8栋丹桂阁,2016/1/6
罗湖,雅馨居,2016/1/6
罗湖,旺业豪苑旺业阁,2016/1/6
罗湖,锦上花家园B栋,2016/1/6
罗湖,鹏兴花园52栋,2016/1/6
罗湖,翡翠园山湖居C栋,2016/1/6
罗湖,世界金融中心C座,2016/1/6
罗湖,崇德雍翠华府御翠阁,2016/1/6
罗湖,缤纷时代家园A栋,2016/1/6
罗湖,东方都会大厦B座,2016/1/6
罗湖,城市天地广场B座,2016/1/6
罗湖,城市天地广场E座,2016/1/6
罗湖,百仕达花园（四期西区）6栋,2016/1/6
福田,黄木岗东区17栋,2016/1/6
福田,黄木岗东区22栋,2016/1/6
福田,海滨广场福荣阁,2016/1/6
福田,福星阁,2016/1/6
福田,福安阁,2016/1/6
福田,黄木岗北区75栋,2016/1/6
福田,莲花北65栋,2016/1/6
福田,莲花北04栋,2016/1/6
福田,宝莲大厦2栋,2016/1/6
福田,景新花园景曦阁,2016/1/6
福田,金沙花园7栋,2016/1/6
福田,巴登市场商住楼北座,2016/1/6
福田,富霖花园A1栋,2016/1/6
福田,鹏盛村5栋,2016/1/6
福田,碧景园A栋,2016/1/6
福田,鹏益花园4栋,2016/1/6
福田,锦文阁,2016/1/6
福田,嘉汇新城嘉祥阁,2016/1/6
福田,天泽花园天致苑,2016/1/6
福田,旭飞花园B栋,2016/1/6
福田,华安园,2016/1/6
福田,益田花园F区21栋,2016/1/6
福田,盛世家园,2016/1/6
福田,金色家园二期7号楼,2016/1/6
福田,特发小区住宅19栋,2016/1/6
福田,金海丽名居B座,2016/1/6
福田,缔馨园A栋,2016/1/6
福田,港城华庭2号塔楼,2016/1/6
福田,广业大厦东座,2016/1/6
福田,金地花园401栋,2016/1/6
福田,嘉隆星苑C栋,2016/1/6
福田,皇岗星河华居,2016/1/6
福田,汇港名苑,2016/1/6
福田,南光捷佳大厦,2016/1/6
福田,南光捷佳大厦,2016/1/6
福田,黄埔雅苑乐悠园3、3A座,2016/1/6
福田,黄埔雅苑乐悠园3、3A座,2016/1/6
福田,安柏丽晶园4-7栋,2016/1/6
福田,金域蓝湾2号楼,2016/1/6
福田,凯丰花园D栋,2016/1/6
福田,皇御苑B区8栋,2016/1/6
福田,金港豪庭A座,2016/1/6
福田,城市杰座名苑1栋,2016/1/6
福田,泰然碧海红树园6号楼,2016/1/6
福田,绿景花园二期C栋,2016/1/6
福田,香诗美林花园10栋,2016/1/6
南山,科技园34小区13栋,2016/1/6
南山,半岛花园B区8栋,2016/1/6
